City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,vorgashor,67.5833,63.95,21.85,52,99,4.91,RU,1720336313
306,maun,-19.9833,23.4167,11.98,17,0,0.51,BW,1720336387
307,jiujiang,29.7333,115.9833,35.52,55,3,5.57,CN,1720336387
308,langepas,61.2544,75.2124,21.2,33,4,5.88,RU,1720336387
309,nueva esperanza,15.2667,-87.6,24.79,99,100,1.05,HN,1720336387
310,papao,-17.75,-149.55,24.82,77,30,9.78,PF,1720336387
311,kilindoni,-7.9139,39.6668,25.78,68,30,7.16,TZ,1720336388
312,barguzin,53.6167,109.6167,26.34,65,62,3.85,RU,1720336388
313,elmina,5.0898,-1.348,24.61,90,98,3.05,GH,1720336388
314,male,4.1748,73.5089,28.65,74,100,3.57,MV,1720336098
315,thompson,55.7435,-97.8558,16.09,94,100,3.6,CA,1720336388
316,kilimatinde,-5.85,34.95,22.42,53,70,2.61,TZ,1720336388
317,san antonio de pale,-1.4014,5.6325,23.04,87,100,6.61,GQ,1720336388
318,dondo,-19.6094,34.7431,18.73,55,0,1.7,MZ,1720336389
319,atchison,39.563,-95.1216,21.06,86,20,2.04,US,1720336389
320,waingapu,-9.6567,120.2641,28.63,59,18,8.27,ID,1720336389
321,borzya,50.3833,116.5167,32.1,32,100,2.08,RU,1720336389
322,hekimhan,38.818,37.9312,28.29,46,0,1.45,TR,1720336389
323,tocopilla,-22.092,-70.1979,15.5,76,23,3.16,CL,1720336390
324,portage la prairie,49.9728,-98.2926,15.62,63,73,1.79,CA,1720336390
325,san luis de la loma,17.2706,-100.8939,25.81,85,30,2.38,MX,1720336390
326,robore,-18.3333,-59.75,13.62,76,56,1.41,BO,1720336390
327,monrovia,6.3005,-10.7969,23.87,84,100,3.87,LR,1720336390
328,vadso,70.0744,29.7487,17.49,63,20,5.66,NO,1720336390
329,turbat,26.0023,63.044,46.09,8,18,4.12,PK,1720336391
330,xaltianguis,17.0667,-99.8333,23.73,95,94,0.98,MX,1720336391
331,ar rahad,12.7167,30.65,28.12,57,100,5.52,SD,1720336391
332,tura,25.5198,90.2201,29.94,79,51,2.38,IN,1720336391
333,nuku'alofa,-21.1333,-175.2,20.19,56,20,4.12,TO,1720336391
334,villa regina,-39.1,-67.0667,1.2,51,6,3.72,AR,1720336392
335,vernon,50.2581,-119.2691,20.42,48,0,0.49,CA,1720336203
336,suva,-18.1416,178.4415,21.71,78,75,4.12,FJ,1720336392
337,utiel,39.5667,-1.2,20.24,74,97,3.48,ES,1720336392
338,murzuq,25.9155,13.9184,31.24,24,0,4.02,LY,1720336392
339,acarau,-2.8856,-40.12,23.67,88,20,4.23,BR,1720336392
340,rice lake,45.5061,-91.7382,18.82,84,40,0.0,US,1720336393
341,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.0,GF,1720336393
342,tari,-11.1105,14.3559,20.11,27,60,1.16,AO,1720336393
343,mahdia,35.5047,11.0622,25.97,67,6,4.86,TN,1720336393
344,kenai,60.5544,-151.2583,13.05,89,100,6.69,US,1720336393
345,chui,-33.6971,-53.4616,3.24,85,15,2.02,UY,1720336393
346,carutapera,-1.195,-46.02,24.27,89,18,2.58,BR,1720336394
347,qarazhal,48.0078,70.7903,22.13,55,79,8.02,KZ,1720336394
348,isabela,6.7085,121.9711,28.64,76,94,0.89,PH,1720336394
349,howard springs,-12.497,131.047,31.95,58,62,2.13,AU,1720336394
350,ruovesi,61.9858,24.0571,15.9,84,100,5.98,FI,1720336394
351,karratha,-20.7377,116.8463,22.19,36,0,3.68,AU,1720336394
352,mendefera,14.8872,38.8153,20.94,62,11,2.58,ER,1720336395
353,kargat,55.1956,80.2811,22.42,82,100,4.12,RU,1720336395
354,rundu,-17.9333,19.7667,15.54,9,5,1.52,NA,1720336395
355,ribas do rio pardo,-20.4431,-53.7592,16.69,49,100,0.32,BR,1720336395
356,ulsteinvik,62.3432,5.8487,14.86,82,100,3.58,NO,1720336396
357,languyan,5.2618,120.0807,30.52,64,32,3.13,PH,1720336396
358,egilsstadir,65.2653,-14.3948,4.95,87,100,3.09,IS,1720336396
359,asubulaq,49.5583,83.0558,22.91,56,56,2.14,KZ,1720336396
360,collie,-33.3667,116.15,14.57,70,0,5.3,AU,1720336396
361,tshikapa,-6.4167,20.8,25.93,22,11,1.91,CD,1720336396
362,dingzhou,38.5131,114.9956,35.41,39,100,3.27,CN,1720336397
363,san julian,21.0167,-102.1667,16.68,68,72,2.7,MX,1720336397
364,calama,-22.4667,-68.9333,-0.73,47,0,8.75,CL,1720336397
365,lhasa,29.65,91.1,22.53,38,77,2.91,CN,1720336397
366,sirte,31.2089,16.5887,26.61,59,0,3.66,LY,1720336397
367,alofi,-19.0595,-169.9187,21.94,78,75,6.17,NU,1720336398
368,palikir - national government center,6.9248,158.1611,27.41,89,75,1.03,FM,1720336398
369,sarmiento,-45.5882,-69.07,1.08,82,99,2.49,AR,1720336398
370,northam,51.0333,-4.2167,12.92,95,99,4.78,GB,1720336398
371,arawa,-6.2132,155.5367,25.81,91,100,1.46,PG,1720336398
372,goderich,43.7501,-81.7165,16.62,94,0,1.03,CA,1720336398
373,price,39.5994,-110.8107,20.06,22,0,1.54,US,1720336399
374,high river,50.5834,-113.8687,15.73,75,14,2.52,CA,1720336399
375,sao joao da barra,-21.6403,-41.0511,19.05,90,0,1.98,BR,1720336399
376,juneau,58.3019,-134.4197,13.0,91,100,0.0,US,1720336319
377,ulladulla,-35.35,150.4667,12.13,82,100,1.71,AU,1720336399
378,san juan de miraflores,-12.1629,-76.9635,17.71,87,100,3.55,PE,1720336399
379,tyul'gan,52.3405,56.166,26.19,62,29,3.03,RU,1720336399
380,uyuni,-20.4597,-66.825,2.85,30,1,6.44,BO,1720336400
381,constitucion,-35.3333,-72.4167,5.8,80,0,2.47,CL,1720336400
382,kismayo,-0.3582,42.5454,27.37,64,38,7.07,SO,1720336400
383,larache,35.1932,-6.1557,20.73,78,22,1.59,MA,1720336400
384,sandnessjoen,66.0217,12.6316,10.29,78,0,3.71,NO,1720336400
385,nadi,-17.8,177.4167,23.0,73,40,4.12,FJ,1720336401
386,urzhar,47.093,81.6294,29.78,29,5,3.29,KZ,1720336401
387,gamba,-2.65,10.0,22.03,87,100,2.67,GA,1720336401
388,choele choel,-39.2667,-65.6833,1.26,74,6,2.21,AR,1720336401
389,barah,13.7,30.3667,29.44,42,100,5.8,SD,1720336401
390,oranjemund,-28.55,16.4333,14.26,73,92,12.32,NA,1720336401
391,charlestown,-32.95,151.6667,15.62,90,99,0.89,AU,1720336324
392,conde,-7.2597,-34.9075,22.7,94,40,1.54,BR,1720336402
393,hobyo,5.3505,48.5268,28.75,57,14,11.39,SO,1720336402
394,niafunke,15.9322,-3.9906,29.04,57,26,6.15,ML,1720336402
395,ancud,-41.8697,-73.8203,5.74,90,63,1.68,CL,1720336402
396,morehead city,34.7229,-76.726,28.0,88,20,4.63,US,1720336402
397,fomboni,-12.28,43.7425,26.16,65,0,6.91,KM,1720336402
398,yaren,-0.5472,166.916,28.31,73,100,2.74,NR,1720336403
399,arno,60.1167,18.6333,13.77,80,46,8.41,SE,1720336403
400,flin flon,54.7682,-101.865,14.77,88,70,3.08,CA,1720336403
401,puerto carreno,6.189,-67.4859,22.7,97,100,1.17,CO,1720336403
402,magistral'nyy,56.1725,107.4458,34.13,32,20,1.17,RU,1720336403
403,idrinskoye,54.3708,92.1358,27.34,55,34,0.34,RU,1720336403
404,sierra grande,-41.606,-65.3557,-0.64,81,0,1.5,AR,1720336404
405,kruisfontein,-34.0033,24.7314,16.41,20,0,7.34,ZA,1720336404
406,pacific grove,36.6177,-121.9166,15.11,94,100,3.09,US,1720336293
407,saldanha,-33.0117,17.9442,11.03,78,100,14.88,ZA,1720336404
